token	stem	lemma
Привет	привет	привет
я	я	я
Соня	сон	соня
))	))	))
Это	эт	это
первая	перв	первый
лабораторная	лабораторн	лабораторный
работа	работ	работа
Я	я	я
тут	тут	тут
Как	как	как
дела	дел	дело
:p	:p	:p
a = b + c	a = b + c	a = b + c
Я	я	я
живу	жив	жить
по	по	по
адресу	адрес	адрес
Ул.	ул.	ул.
Большая	больш	больший
д.	д.	д.
5	5	5
к.	к.	к.
3	3	3
кв.	кв.	кв.
34	34	34
что	что	что
делать	дела	делать
:(	:(	:(
a = b*c	a = b*c	a = b*c
c	c	c
d	d	d
2	2	2
q +a = b +c	q +a = b +c	q +a = b +c
(a:p) +(a+d+c)*2=2a	(a:p) +(a+d+c)*2=2a	(a:p) +(a+d+c)*2=2a
Мой	мо	мой
номер	номер	номер
телефона	телефон	телефон
8921-123-23-23	8921-123-23-23	8921-123-23-23
А	а	а
номер	номер	номер
моей	мо	мой
сестры	сестр	сестра
8(821)-123-23-24	8(821)-123-23-24	8(821)-123-23-24
Каждый	кажд	каждый
веб	веб	веб
разработчик	разработчик	разработчик
знает	знает	знать
что	что	что
такое	так	такой
текст	текст	текст
рыба	рыб	рыба
Текст	текст	текст
этот	этот	этот
несмотря	несмотр	несмотря
на	на	на
название	назван	название
не	не	не
имеет	имеет	иметь
никакого	никак	никакой
отношения	отношен	отношение
к	к	к
обитателям	обитател	обитатель
водоемов	водоем	водоём
